Stock Code,Warehouse,CREATEDATE,BATCH,Qty
8515210204                         ,62,10/6/2026,199900014949,70
8515210204                         ,62,10/6/2026,199900014948,70
8515210204                         ,62,9/6/2026,199900014863,70
8515210204                         ,62,9/6/2026,199900014859,70
8515210204                         ,62,9/6/2026,199900014860,70
8515210204                         ,62,10/6/2026,199900014955,70
8515210204                         ,99,4/3/2026,199900009237,70
8515220204                         ,01,14/1/2026,199900005619,70
8515220204                         ,01,29/3/2026,199900011142,70
8515220204                         ,01,8/2/2026,199900008460,19
8515220204                         ,01,29/3/2026,199900011140,70
8515220204                         ,01,29/3/2026,199900011141,70
8515220204                         ,01,14/1/2026,199900005622,70
8515220204                         ,01,29/3/2026,199900011144,31
8515220204                         ,01,15/1/2026,199900006080,20
8515220204                         ,01,29/1/2026,199900007551,70
8515220204                         ,01,13/1/2026,199900005600,70
8515220204                         ,01,14/1/2026,199900005641,70
8515220204                         ,01,29/3/2026,199900011143,70
8515220204                         ,60,18/4/2026,199900011964,70
8515220204                         ,60,21/4/2026,199900011972,70
8515220204                         ,60,18/4/2026,199900011977,70
8515220204                         ,60,16/4/2026,199900011984,70
8515220204                         ,60,16/4/2026,199900011986,70
8515220204                         ,60,18/4/2026,199900011963,70
8515220204                         ,60,13/5/2026,199900013035,70
8515220204                         ,60,18/4/2026,199900011979,70
8515220204                         ,60,16/4/2026,199900011983,70
8515220204                         ,60,4/3/2026,199900009268,70
8515220204                         ,60,16/4/2026,199900011987,70
8515220204                         ,60,21/4/2026,199900011973,70
8515220204                         ,60,16/4/2026,199900011989,70
8515220204                         ,60,16/4/2026,199900011982,70
8515220204                         ,60,15/5/2026,199900013231,70
8515220204                         ,60,22/4/2026,199900012336,70
8515220204                         ,60,6/3/2026,199900009292,70
8515220204                         ,60,16/4/2026,199900011988,70
8515220204                         ,60,21/4/2026,199900011974,70
8515220204                         ,60,18/4/2026,199900011962,70
8515220204                         ,60,21/4/2026,199900011971,70
8515220204                         ,60,21/4/2026,199900012206,70
8515220204                         ,60,16/4/2026,199900011980,70
8515220204                         ,60,21/4/2026,199900011970,70
8515220204                         ,60,6/3/2026,199900009270,70
8515220204                         ,60,4/3/2026,199900009297,70
8515220204                         ,60,22/4/2026,199900012335,70
8515220204                         ,60,21/4/2026,199900011969,70
8515220204                         ,60,6/3/2026,199900009293,70
8515220204                         ,60,9/5/2026,199900012976,47
8515220204                         ,60,18/4/2026,199900011978,70
8515220204                         ,60,16/4/2026,199900011981,70
8515220204                         ,60,22/4/2026,199900012442,23
8515220204                         ,60,16/4/2026,199900011985,70
8515220204                         ,60,6/3/2026,199900009291,70
8515220204                         ,60,21/4/2026,199900011968,70
8515220204                         ,60,18/4/2026,199900011976,70
8515220204                         ,60,18/4/2026,199900011975,70
8515220204                         ,62,9/6/2026,199900014853,70
8515220204                         ,62,9/6/2026,199900014858,70
8515220204                         ,62,9/6/2026,199900014855,70
8515220204                         ,62,9/6/2026,199900014849,70
8515220204                         ,62,9/6/2026,199900014848,70
8515220204                         ,62,9/6/2026,199900014852,70
